# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;-21.346585;78.859669;-0.074695;-0.107147;7.500000;0.000000
0.199979;-21.147480;78.842633;-0.095977;-0.105828;7.500000;-0.023422
0.399958;-20.948906;78.821405;-0.116972;-0.104408;7.499375;-0.061271
0.599937;-20.750877;78.796049;-0.137667;-0.102896;7.497741;-0.082616
0.799917;-20.553407;78.766632;-0.158053;-0.101303;7.495538;-0.086596
0.999896;-20.356513;78.733216;-0.178119;-0.099638;7.493227;-0.090575
1.199875;-20.160210;78.695866;-0.197858;-0.097913;7.490809;-0.064881
1.399854;-19.964511;78.654647;-0.217264;-0.096136;7.489077;-0.010882
1.599833;-19.769433;78.609623;-0.236329;-0.094316;7.488786;0.000000
1.799812;-19.574990;78.560859;-0.255051;-0.092463;7.488786;0.000000
1.999791;-19.381208;78.508422;-0.273426;-0.090753;7.488786;0.000000
2.199770;-19.188675;78.452478;-0.292388;-0.098448;7.488786;0.000000
2.399750;-18.997128;78.392694;-0.312941;-0.106457;7.488786;0.000000
2.599729;-18.806886;78.328826;-0.335137;-0.114800;7.488786;0.000000
2.799708;-18.618268;78.260629;-0.359028;-0.123488;7.488786;0.000000
2.999687;-18.431592;78.187859;-0.384669;-0.132519;7.488786;0.000000
3.199666;-18.247178;78.110274;-0.412114;-0.141874;7.488786;0.000000
3.399645;-18.065344;78.027628;-0.441410;-0.151515;7.488786;0.000000
3.599624;-17.886410;77.939678;-0.472601;-0.161384;7.488786;0.000000
3.799604;-17.710693;77.846180;-0.505719;-0.171393;7.488786;0.000000
3.999583;-17.538509;77.746887;-0.540785;-0.181223;7.488786;0.000000
4.199562;-17.369520;77.641339;-0.575270;-0.164825;7.488786;0.000000
4.399541;-17.204079;77.530295;-0.606443;-0.148017;7.488786;0.000000
4.599520;-17.041860;77.414329;-0.634268;-0.131054;7.488786;0.000000
4.799499;-16.882533;77.294014;-0.658742;-0.114121;7.488786;0.000000
4.999478;-16.725773;77.169925;-0.679877;-0.097334;7.488786;0.000000
5.199458;-16.571250;77.042634;-0.697699;-0.080751;7.488786;0.000000
5.399437;-16.418638;76.912717;-0.712240;-0.064382;7.488786;0.000000
5.599416;-16.267608;76.780746;-0.723527;-0.048201;7.488786;0.000000
5.799395;-16.117833;76.647296;-0.731585;-0.032149;7.488786;0.000000
5.999374;-15.968971;76.512926;-0.736430;-0.016981;7.488786;0.000000
6.199353;-15.820364;76.377642;-0.740937;-0.027893;7.488786;0.000000
6.399332;-15.672695;76.241692;-0.747637;-0.038884;7.488786;0.023389
6.599311;-15.526280;76.104771;-0.756540;-0.049955;7.489411;0.061203
6.799291;-15.381433;75.966573;-0.767656;-0.061104;7.491045;0.082566
6.999270;-15.238470;75.826794;-0.780993;-0.072314;7.493249;0.086596
7.199249;-15.097706;75.685129;-0.796557;-0.083556;7.495559;0.090632
7.399228;-14.959455;75.541272;-0.814349;-0.094784;7.497977;0.064958
7.599207;-14.824033;75.394920;-0.834362;-0.105933;7.499709;0.010898
7.799186;-14.691755;75.245766;-0.856580;-0.116919;7.500000;0.000000
7.999165;-14.562980;75.093561;-0.880946;-0.125460;7.500000;0.000000
8.199145;-14.438281;74.938681;-0.904435;-0.110798;7.500000;0.000000
8.399124;-14.316849;74.780859;-0.925041;-0.096178;7.500000;0.000000
8.599103;-14.198272;74.620478;-0.942775;-0.081677;7.500000;0.000000
8.799082;-14.082136;74.457919;-0.957657;-0.067335;7.500000;0.000000
8.999061;-13.968029;74.293566;-0.969709;-0.053163;7.500000;0.000000
9.199040;-13.855537;74.127800;-0.978953;-0.039146;7.500000;0.000000
9.399019;-13.744248;73.961004;-0.985407;-0.025252;7.500000;0.000000
9.598999;-13.633748;73.793560;-0.989086;-0.011437;7.500000;0.000000
9.798978;-13.523624;73.625851;-0.989998;0.002352;7.500000;0.000000
9.998957;-13.413465;73.458259;-0.988159;0.014375;7.500000;0.000000
10.198936;-13.302982;73.291069;-0.985681;0.010361;7.500000;0.000000
10.398915;-13.192230;73.124224;-0.984009;0.006330;7.500000;0.000000
10.598894;-13.081335;72.957623;-0.983147;0.002284;7.500000;0.000000
10.798873;-12.970422;72.791160;-0.983095;-0.001773;7.500000;0.000000
10.998852;-12.859618;72.624733;-0.983856;-0.005838;7.500000;0.000000
11.198832;-12.749049;72.458237;-0.985430;-0.009910;7.500000;0.000000
11.398811;-12.638841;72.291570;-0.987817;-0.013983;7.500000;0.000000
11.598790;-12.529119;72.124626;-0.991017;-0.018055;7.500000;0.000000
11.798769;-12.420010;71.957303;-0.995030;-0.022122;7.500000;0.000000
11.998748;-12.311633;71.789488;-0.999843;-0.025185;7.500000;0.000000
12.198727;-12.204009;71.621056;-1.004415;-0.020558;7.500000;0.000000
12.398706;-12.097063;71.452161;-1.008062;-0.015934;7.500000;0.000000
12.598686;-11.990641;71.282904;-1.010786;-0.011313;7.500000;0.000000
12.798665;-11.884589;71.113384;-1.012586;-0.006695;7.500000;0.000000
12.998644;-11.778752;70.943703;-1.013464;-0.002081;7.500000;0.000000
13.198623;-11.672975;70.773961;-1.013419;0.002531;7.500000;0.000000
13.398602;-11.567103;70.604259;-1.012451;0.007142;7.500000;0.000000
13.598581;-11.460982;70.434697;-1.010562;0.011751;7.500000;0.000000
13.798560;-11.354457;70.265376;-1.007750;0.016359;7.500000;0.000000
13.998540;-11.247380;70.096406;-1.004031;0.019871;7.500000;0.000000
14.198519;-11.139697;69.927898;-1.000419;0.016256;7.500000;0.000000
14.398498;-11.031461;69.759734;-0.997529;0.012642;7.500000;0.000000
14.598477;-10.922798;69.591838;-0.995362;0.009030;7.500000;0.000000
14.798456;-10.813828;69.424135;-0.993918;0.005419;7.500000;0.000000
14.998435;-10.704677;69.256550;-0.993195;0.001808;7.500000;0.000000
15.198414;-10.595468;69.089008;-0.993194;-0.001803;7.500000;0.000000
15.398393;-10.486324;68.921433;-0.993916;-0.005415;7.500000;0.000000
15.598373;-10.377368;68.753751;-0.995360;-0.009028;7.500000;0.000000
15.798352;-10.268724;68.585887;-0.997527;-0.012644;7.500000;0.000000
15.998331;-10.160508;68.417753;-1.000404;-0.015418;7.500000;0.000000
16.198310;-10.052752;68.249238;-1.003279;-0.013328;7.500000;0.000000
16.398289;-9.945455;68.080452;-1.005736;-0.011237;7.500000;0.000000
16.598268;-9.838545;67.911436;-1.007774;-0.009144;7.500000;0.000000
16.798247;-9.731949;67.742233;-1.009393;-0.007050;7.500000;0.000000
16.998227;-9.625596;67.572887;-1.010593;-0.004955;7.500000;0.000000
17.198206;-9.519415;67.403441;-1.011375;-0.002860;7.500000;0.000000
17.398185;-9.413332;67.233937;-1.011737;-0.000765;7.500000;0.000000
17.598164;-9.307276;67.064418;-1.011681;0.001331;7.500000;0.000000
17.798143;-9.201175;66.894929;-1.011205;0.003427;7.500000;0.000000
17.998122;-9.094958;66.725511;-1.010317;0.005131;7.500000;0.000000
18.198101;-8.988577;66.556202;-1.009314;0.004895;7.500000;0.000000
18.398081;-8.882028;66.386993;-1.008359;0.004659;7.500000;0.000000
18.598060;-8.775320;66.217880;-1.007451;0.004423;7.500000;0.000000
18.798039;-8.668459;66.048857;-1.006590;0.004187;7.500000;0.000000
18.998018;-8.561454;65.879919;-1.005777;0.003950;7.500000;0.000000
19.197997;-8.454312;65.711061;-1.005011;0.003714;7.500000;0.000000
19.397976;-8.347042;65.542277;-1.004291;0.003478;7.500000;0.000000
19.597955;-8.239650;65.373562;-1.003619;0.003242;7.500000;0.000000
19.797934;-8.132145;65.204910;-1.002994;0.003006;7.500000;0.000000
19.997914;-8.024544;65.036331;-1.002414;0.002950;7.500000;0.000000
20.197893;-7.916876;64.867873;-1.001751;0.003675;7.500000;0.000000
20.397872;-7.809079;64.699487;-1.000944;0.004400;7.500000;0.000000
20.597851;-7.701129;64.531186;-0.999992;0.005124;7.500000;0.000000
20.797830;-7.593000;64.362987;-0.998895;0.005848;7.500000;0.000000
20.997809;-7.484668;64.194904;-0.997653;0.006572;7.500000;0.000000
21.197788;-7.376107;64.026952;-0.996267;0.007295;7.500000;0.000000
21.397768;-7.267294;63.859145;-0.994735;0.008018;7.500000;0.000000
21.597747;-7.158202;63.691499;-0.993059;0.008740;7.500000;0.000000
21.797726;-7.048807;63.524029;-0.991239;0.009462;7.500000;0.000000
21.997705;-6.939092;63.356761;-0.989289;0.009446;7.500000;0.000000
22.197684;-6.829090;63.189722;-0.987692;0.006523;7.500000;0.000000
22.397663;-6.718864;63.022816;-0.986680;0.003601;7.500000;0.000000
22.597642;-6.608514;62.855985;-0.986251;0.000681;7.500000;0.000000
22.797622;-6.498142;62.689170;-0.986407;-0.002240;7.500000;0.000000
22.997601;-6.387851;62.522313;-0.987148;-0.005161;7.500000;0.000000
23.197580;-6.277741;62.355357;-0.988472;-0.008085;7.500000;0.000000
23.397559;-6.167914;62.188244;-0.990381;-0.011011;7.500000;0.000000
23.597538;-6.058473;62.020915;-0.992876;-0.013942;7.500000;0.000000
23.797517;-5.949519;61.853313;-0.995956;-0.016876;7.500000;0.000000
23.997496;-5.841129;61.685343;-0.999598;-0.018615;7.500000;0.000000
24.197475;-5.733285;61.516878;-1.003053;-0.015930;7.500000;0.000000
24.397455;-5.625996;61.348098;-1.005970;-0.013241;7.500000;0.000000
24.597434;-5.519166;61.179055;-1.008349;-0.010548;7.500000;0.000000
24.797413;-5.412701;61.009799;-1.010188;-0.007852;7.500000;0.000000
24.997392;-5.306505;60.840381;-1.011489;-0.005155;7.500000;0.000000
25.197371;-5.200484;60.670854;-1.012250;-0.002457;7.500000;0.000000
25.397350;-5.094542;60.501268;-1.012471;0.000241;7.500000;0.000000
25.597329;-4.988585;60.331676;-1.012153;0.002938;7.500000;0.000000
25.797309;-4.882516;60.162128;-1.011296;0.005633;7.500000;0.000000
25.997288;-4.776259;59.992702;-1.009921;0.007434;7.500000;0.000000
26.197267;-4.669798;59.823489;-1.008545;0.006338;7.500000;0.000000
26.397246;-4.563107;59.654387;-1.007387;0.005243;7.500000;0.000000
26.597225;-4.456227;59.485378;-1.006448;0.004149;7.500000;0.000000
26.797204;-4.349197;59.316442;-1.005728;0.003056;7.500000;0.000000
26.997183;-4.242058;59.147562;-1.005226;0.001963;7.500000;0.000000
